,costo,dim,gap,heuristica,instancia,tiempo
353,119692.0,76.0,0.10663005390212557,FI,pr76,2.06773
354,45872.0,107.0,0.03541520890233167,FI,pr107,5.96845
355,66592.0,124.0,0.12810435371844825,FI,pr124,6.23824
356,105111.0,136.0,0.08617161989005084,FI,pr136,6.24732
357,61974.0,144.0,0.05871500076874456,FI,pr144,15.548
358,75396.0,152.0,0.023262126435221627,FI,pr152,12.3343
359,1330.0,99.0,0.09826589595375723,FI,rat99,4.82203
360,2631.0,195.0,0.13258717176065432,FI,rat195,15.6061
361,8944.0,100.0,0.1307206068268015,FI,rd100,6.03696
362,21955.0,175.0,0.025599103097117767,FI,si175,20.9676
363,712.0,70.0,0.054814814814814816,FI,st70,1.719
364,1406.0,42.0,0.1044776119402985,FI,swiss42,0.874411
365,46811.0,159.0,0.1124287072243346,FI,u159,17.7806
366,7023.0,16.0,0.023910190989940225,FI,ulysses16,0.106732
367,7224.0,22.0,0.03008698132040496,FI,ulysses22,0.218634
368,13926.0,48.0,0.3103123823861498,AGM,att48,0.094383
369,2193.0,29.0,0.362111801242236,AGM,bayg29,0.049194
370,2677.0,29.0,0.32524752475247526,AGM,bays29,0.049616
371,10402.0,52.0,0.379209758684699,AGM,berlin52,0.130525
372,155472.0,127.0,0.31441808559205964,AGM,bier127,0.548228
373,30336.0,58.0,0.1945658594211459,AGM,brazil58,0.171183
374,118860.0,180.0,59.95384615384615,AGM,brg180,0.374793
375,4003.0,14.0,0.2046343665362624,AGM,burma14,0.018168
376,8279.0,130.0,0.35499181669394436,AGM,ch130,0.344663
377,9315.0,150.0,0.42693014705882354,AGM,ch150,0.78831
378,19347.0,198.0,0.22604562737642586,AGM,d198,0.965712
379,916.0,42.0,0.3104434907010014,AGM,dantzig42,0.084986
380,605.0,51.0,0.42018779342723006,AGM,eil51,0.125929
381,731.0,76.0,0.3587360594795539,AGM,eil76,0.228855
382,1136.0,26.0,0.21237993596584845,AGM,fri26,0.043225
383,2352.0,17.0,0.12805755395683452,AGM,gr17,0.02599
384,3738.0,21.0,0.38086442556335426,AGM,gr21,0.036566
385,1641.0,24.0,0.29009433962264153,AGM,gr24,0.041632
386,7187.0,48.0,0.42429647245342844,AGM,gr48,0.117567
387,75225.0,96.0,0.3625495843069065,AGM,gr96,0.280653
388,9919.0,120.0,0.4288389513108614,AGM,gr120,0.515838
389,94463.0,137.0,0.35231128226418335,AGM,gr137,0.519905
390,14905.0,48.0,0.30049733880115176,AGM,hk48,0.118739
391,30516.0,100.0,0.4338877925007048,AGM,kroA100,0.366734
392,28807.0,100.0,0.3010704123571654,AGM,kroB100,0.368556
393,27636.0,100.0,0.3319196105836426,AGM,kroC100,0.287521
394,28599.0,100.0,0.34305438151592,AGM,kroD100,0.372832
395,30964.0,100.0,0.40311763639659237,AGM,kroE100,0.371101
396,38763.0,150.0,0.46143115668828233,AGM,kroA150,0.770267
397,35289.0,150.0,0.3505166475315729,AGM,kroB150,0.456016
398,21167.0,105.0,0.4720773350024341,AGM,lin105,0.199745
399,147668.0,76.0,0.3652862914782866,AGM,pr76,0.216358
400,55956.0,107.0,0.2630295916755073,AGM,pr107,0.235437
401,82761.0,124.0,0.4020159241063866,AGM,pr124,0.255344
402,146988.0,136.0,0.5189104286363824,AGM,pr136,0.542331
403,77704.0,144.0,0.32743393067632437,AGM,pr144,0.404069
404,90292.0,152.0,0.22542819141717108,AGM,pr152,0.282781
405,1635.0,99.0,0.3501238645747316,AGM,rat99,0.209849
406,3278.0,195.0,0.41110632802410674,AGM,rat195,0.52672
407,10467.0,100.0,0.32326169405815425,AGM,rd100,0.338236
408,22992.0,175.0,0.07404120147615266,AGM,si175,0.531635
409,874.0,70.0,0.2948148148148148,AGM,st70,0.162655
410,1699.0,42.0,0.33464257659073054,AGM,swiss42,0.105512
411,54089.0,159.0,0.28538498098859316,AGM,u159,0.238857
412,7788.0,16.0,0.13544248432716138,AGM,ulysses16,0.018662
413,8308.0,22.0,0.1846570654498788,AGM,ulysses22,0.038102
414,12861.0,48.0,0.21010538200978549,NN,att48,0.058942
415,2005.0,29.0,0.2453416149068323,NN,bayg29,0.017988
416,2258.0,29.0,0.11782178217821782,NN,bays29,0.019679
417,8980.0,52.0,0.19066560594006896,NN,berlin52,0.117743
