instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
brazil58,58,TS-C,725.176,25395,0.0,1000,100,10
brazil58,58,TS-C,732.009,25645,0.009844457570387872,1000,200,10
brazil58,58,TS-C,720.298,25450,0.0021657806654853317,1000,500,10
brazil58,58,TS-C,733.933,25400,0.00019688915140775743,1000,1000,10
brazil58,58,TS-C,53.2721,26307,0.03591258121677496,50,50,20
brazil58,58,TS-C,84.9132,26143,0.029454617050600512,100,50,20
brazil58,58,TS-C,104.384,25400,0.00019688915140775743,100,100,20
brazil58,58,TS-C,177.964,25766,0.014609175034455602,200,50,20
brazil58,58,TS-C,156.381,25771,0.014806064185863358,200,100,20
brazil58,58,TS-C,175.332,26307,0.03591258121677496,200,200,20
brazil58,58,TS-C,363.506,26230,0.03288048828509549,500,50,20
brazil58,58,TS-C,367.222,25395,0.0,500,100,20
brazil58,58,TS-C,377.848,25761,0.014412285883047844,500,200,20
brazil58,58,TS-C,386.989,25761,0.014412285883047844,500,500,20
brazil58,58,TS-C,709.717,25761,0.014412285883047844,1000,50,20
brazil58,58,TS-C,731.314,25761,0.014412285883047844,1000,100,20
brazil58,58,TS-C,733.047,25761,0.014412285883047844,1000,200,20
brazil58,58,TS-C,728.437,25761,0.014412285883047844,1000,500,20
brazil58,58,TS-C,776.557,25761,0.014412285883047844,1000,1000,20
brazil58,58,TS-C,51.4075,26472,0.04240992321323095,50,50,50
brazil58,58,TS-C,98.5337,25838,0.01744437881472731,100,50,50
brazil58,58,TS-C,85.4312,25838,0.01744437881472731,100,100,50
brazil58,58,TS-C,166.256,25838,0.01744437881472731,200,50,50
brazil58,58,TS-C,174.776,25838,0.01744437881472731,200,100,50
brazil58,58,TS-C,167.587,26307,0.03591258121677496,200,200,50
brazil58,58,TS-C,403.179,25838,0.01744437881472731,500,50,50
brazil58,58,TS-C,424.32,25838,0.01744437881472731,500,100,50
brazil58,58,TS-C,403.259,25395,0.0,500,200,50
brazil58,58,TS-C,425.665,26307,0.03591258121677496,500,500,50
brazil58,58,TS-C,773.192,25838,0.01744437881472731,1000,50,50
brazil58,58,TS-C,805.61,26307,0.03591258121677496,1000,100,50
brazil58,58,TS-C,799.676,25838,0.01744437881472731,1000,200,50
brazil58,58,TS-C,812.51,25395,0.0,1000,500,50
brazil58,58,TS-C,837.189,25767,0.014648552864737152,1000,1000,50
brazil58,58,TS-C,49.5795,25838,0.01744437881472731,50,50,80
brazil58,58,TS-C,122.075,25838,0.01744437881472731,100,50,80
brazil58,58,TS-C,92.8603,25838,0.01744437881472731,100,100,80
brazil58,58,TS-C,201.546,25838,0.01744437881472731,200,50,80
brazil58,58,TS-C,183.485,25838,0.01744437881472731,200,100,80
brazil58,58,TS-C,196.132,25838,0.01744437881472731,200,200,80
brazil58,58,TS-C,466.906,25838,0.01744437881472731,500,50,80
brazil58,58,TS-C,450.013,25838,0.01744437881472731,500,100,80
brazil58,58,TS-C,464.684,25838,0.01744437881472731,500,200,80
brazil58,58,TS-C,471.17,25838,0.01744437881472731,500,500,80
brazil58,58,TS-C,855.572,25838,0.01744437881472731,1000,50,80
brazil58,58,TS-C,854.954,25838,0.01744437881472731,1000,100,80
brazil58,58,TS-C,890.587,25838,0.01744437881472731,1000,200,80
brazil58,58,TS-C,898.979,25838,0.01744437881472731,1000,500,80
brazil58,58,TS-C,932.543,25838,0.01744437881472731,1000,1000,80
brazil58,58,TS-C,56.184,26003,0.023941720811183304,50,50,100
brazil58,58,TS-C,114.49,25838,0.01744437881472731,100,50,100
brazil58,58,TS-C,124.778,25838,0.01744437881472731,100,100,100
brazil58,58,TS-C,201.87,25838,0.01744437881472731,200,50,100
brazil58,58,TS-C,215.397,25838,0.01744437881472731,200,100,100
brazil58,58,TS-C,202.239,25838,0.01744437881472731,200,200,100
brazil58,58,TS-C,516.92,25838,0.01744437881472731,500,50,100
brazil58,58,TS-C,490.69,25838,0.01744437881472731,500,100,100
brazil58,58,TS-C,467.345,25838,0.01744437881472731,500,200,100
brazil58,58,TS-C,518.379,25838,0.01744437881472731,500,500,100
brazil58,58,TS-C,955.17,25838,0.01744437881472731,1000,50,100
brazil58,58,TS-C,978.379,25838,0.01744437881472731,1000,100,100
brazil58,58,TS-C,961.778,25838,0.01744437881472731,1000,200,100
